names,year,Certificate,Runtime,Genre,Rating,Overview,Director,Budget,Revenue
Trois couleurs: Rouge,1994,U,99,"Drama, Mystery, Romance",8.1,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,23298294,60299678
Chung Hing sam lam,1994,U,102,"Comedy, Crime, Drama",8.1,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",Kar-Wai Wong,37747762,26144145
Jurassic Park,1993,UA,127,"Action, Adventure, Sci-Fi",8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,47317110,70257701
In the Name of the Father,1993,UA,133,"Biography, Crime, Drama",8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,72687602,96168204
Ba wang bie ji,1993,R,171,"Drama, Music, Romance",8.1,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Kaige Chen,99710689,28268303
Dà hóng denglong gaogao guà,1991,PG,125,"Drama, History, Romance",8.1,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Yimou Zhang,28940461,85941746
Dead Poets Society,1989,U,128,"Comedy, Drama",8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Peter Weir,21591027,20588540
Stand by Me,1986,U,89,"Adventure, Drama",8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner,41328108,91035367
Platoon,1986,A,120,"Drama, War",8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd exaation of the brutality of war and the duality of man in conflict.",Oliver Stone,36090291,10367718
"Paris, Texas",1984,U,145,Drama,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,99633720,81216454
Kaze no tani no Naushika,1984,U,117,"Animation, Adventure, Fantasy",8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,34325924,36551175
The Thing,1982,A,109,"Horror, Mystery, Sci-Fi",8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,52665849,72071364
Pink Floyd: The Wall,1982,UA,95,"Drama, Fantasy, Music",8.1,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,Alan Parker,82459625,14417277
Fitzcarraldo,1982,R,158,"Adventure, Drama",8.1,"The story of Brian Sweeney Fitzgerald, an extremely detered man who intends to build an opera house in the middle of a jungle.",Werner Herzog,65350286,67535192
Fanny och Alexander,1982,A,188,Drama,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Ingmar Bergman,32950740,72271171
Blade Runner,1982,UA,117,"Action, Sci-Fi, Thriller",8.1,"A blade runner must pursue and terate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott,70442948,27784170
The Elephant Man,1980,UA,124,"Biography, Drama",8.1,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,54231110,87544170
Life of Brian,1979,R,94,Comedy,8.1,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Terry Jones,56882621,30596585
The Deer Hunter,1978,A,183,"Drama, War",8.1,An in-depth exaation of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Michael Cio,94676794,15775801
Rocky,1976,U,120,"Drama, Sport",8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,60114331,35668142
Network,1976,UA,121,Drama,8.1,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Sidney Lumet,69360391,57622905
Barry Lyndon,1975,PG,185,"Adventure, Drama, History",8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,12097166,48469982
Zerkalo,1975,G,107,"Biography, Drama",8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Andrei Tarkovsky,68743615,55179173
Chinatown,1974,UA,130,"Drama, Mystery, Thriller",8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,54451034,66384158
Paper Moon,1973,U,102,"Comedy, Crime, Drama",8.1,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Peter Bogdanovich,15414623,19177429
Viskningar och rop,1972,A,91,Drama,8.1,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Ingmar Bergman,19242687,72267044
Solaris,1972,PG,167,"Drama, Mystery, Sci-Fi",8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Andrei Tarkovsky,79168257,63465236
Le samouraï,1967,GP,105,"Crime, Drama, Mystery",8.1,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Jean-Pierre Melville,58949224,68964752
Cool Hand Luke,1967,A,127,"Crime, Drama",8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,30457174,63933121
Persona,1966,,85,"Drama, Thriller",8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,51893268,92141444
Andrei Rublev,1966,R,205,"Biography, Drama, History",8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrei Tarkovsky,45328557,22743492
La battaglia di Algeri,1966,,121,"Drama, War",8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,19273479,64960912
El ángel exterador,1962,,95,"Drama, Fantasy",8.1,The guests at an upper-class dinner party find themselves unable to leave.,Luis Buñuel,33633455,78221432
What Ever Happened to Baby Jane?,1962,Passed,134,"Drama, Horror, Thriller",8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Robert Aldrich,74107150,44791980
Sanjuro,1962,U,96,"Action, Comedy, Crime",8.1,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Akira Kurosawa,30136145,29264292
The Man Who Shot Liberty Valance,1962,,123,"Drama, Western",8.1,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,John Ford,78606260,67249705
Ivanovo detstvo,1962,,95,"Drama, War",8.1,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",Andrei Tarkovsky,60193285,26186218
Jungfrukällan,1960,A,89,Drama,8.1,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Ingmar Bergman,91326157,34498811
Inherit the Wind,1960,Passed,128,"Biography, Drama, History",8.1,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",Stanley Kramer,15331183,90863543
Les quatre cents coups,1959,,99,"Crime, Drama",8.1,"A young boy, left without attention, delves into a life of petty crime.",François Truffaut,78897314,62197713
Ben-Hur,1959,U,212,"Adventure, Drama, History",8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",William Wyler,90782070,80511306
Kakushi-toride no san-akunin,1958,,139,"Adventure, Drama",8.1,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Akira Kurosawa,72523878,88706455
Le notti di Cabiria,1957,,110,Drama,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Federico Fellini,19433214,33787052
Kumonosu-jô,1957,,110,"Drama, History",8.1,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Akira Kurosawa,65871012,66126067
The Bridge on the River Kwai,1957,PG,161,"Adventure, Drama, War",8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",David Lean,86235413,22541852
On the Waterfront,1954,A,108,"Crime, Drama, Thriller",8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Elia Kazan,52306649,76739036
Le salaire de la peur,1953,U,131,"Adventure, Drama, Thriller",8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,37836414,99440520
Ace in the Hole,1951,Approved,111,"Drama, Film-Noir",8.1,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Billy Wilder,73491766,88909782
White Heat,1949,,114,"Action, Crime, Drama",8.1,A psychopathic crial with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Raoul Walsh,98926283,53291720
The Third Man,1949,Approved,104,"Film-Noir, Mystery, Thriller",8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,61035231,99344155
The Red Shoes,1948,,135,"Drama, Music, Romance",8.1,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Michael Powell,90598690,60122689
The Shop Around the Corner,1940,,99,"Comedy, Drama, Romance",8.1,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,46968605,55051571
Rebecca,1940,Approved,130,"Drama, Mystery, Romance",8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,71166406,66027752
Mr. Smith Goes to Washington,1939,Passed,129,"Comedy, Drama",8.1,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Frank Capra,64774441,57241873
Gone with the Wind,1939,U,238,"Drama, History, Romance",8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Victor Fleg,18071559,67505581
La Grande Illusion,1937,,113,"Drama, War",8.1,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seegly inescapable fortress.",Jean Renoir,17115916,81251144
It Happened One Night,1934,Approved,105,"Comedy, Romance",8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Frank Capra,41258017,67715122
La passion de Jeanne d'Arc,1928,Passed,110,"Biography, Drama, History",8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,16484577,97002049
The Circus,1928,Passed,72,"Comedy, Romance",8.1,The Tramp finds work and the girl of his dreams at a circus.,Charles Chaplin,94884851,47647454
Sunrise: A Song of Two Humans,1927,Passed,94,"Drama, Romance",8.1,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,F.W. Murnau,62553971,31666486
The General,1926,Passed,67,"Action, Adventure, Comedy",8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Clyde Bruckman,73592689,75685183
Das Cabinet des Dr. Caligari,1920,,76,"Fantasy, Horror, Mystery",8.1,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Robert Wiene,34764806,12398240
Badhaai ho,2018,UA,124,"Comedy, Drama",8.0,A man is embarrassed when he finds out his mother is pregnant.,Amit Ravindernath Sharma,90392985,32286373
Togo,2019,U,113,"Adventure, Biography, Drama",8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",Ericson Core,83390324,30166707
Airlift,2016,UA,130,"Drama, History",8.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Raja Menon,63984150,66536385
Bajrangi Bhaijaan,2015,UA,163,"Action, Adventure, Comedy",8.0,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,52621404,50963290
Baby,2015,UA,159,"Action, Crime, Thriller",8.0,"An elite counter-intelligence unit learns of a plot, masterded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Neeraj Pandey,18873684,11487026
La La Land,2016,A,128,"Comedy, Drama, Music",8.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,39765078,19558827
Lion,2016,U,118,"Biography, Drama",8.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,53518165,24713552
The Martian,2015,UA,144,"Adventure, Drama, Sci-Fi",8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Ridley Scott,76391258,52927087
Zootopia,2016,U,108,"Animation, Adventure, Comedy",8.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Byron Howard,63234756,65919726
Bãhubali: The Beginning,2015,UA,159,"Action, Drama",8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",S.S. Rajamouli,63930150,95582116
Kaguyahime no monogatari,2013,U,137,"Animation, Adventure, Drama",8.0,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Isao Takahata,25728423,27118689
Wonder,2017,U,113,"Drama, Family",8.0,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarg story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Stephen Chbosky,80232359,11022692
Gully Boy,2019,UA,154,"Drama, Music, Romance",8.0,A cog-of-age story based on the lives of street rappers in Mumbai.,Zoya Akhtar,64605475,75271143
Special Chabbis,2013,UA,144,"Crime, Drama, Thriller",8.0,A gang of con-men rob proent rich businessmen and politicians by posing as C.B.I and income tax officers.,Neeraj Pandey,74241613,89491419
Short Term 12,2013,R,96,Drama,8.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Destin Daniel Cretton,23556404,23583547
Serbuan maut 2: Berandal,2014,A,150,"Action, Crime, Thriller",8.0,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,70618597,92901824
The Imitation Game,2014,UA,114,"Biography, Drama, Thriller",8.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",Morten Tyldum,67664899,53404525
Guardians of the Galaxy,2014,UA,121,"Action, Adventure, Comedy",8.0,A group of intergalactic crials must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,54089046,57567440
Blade Runner 2049,2017,UA,164,"Action, Drama, Mystery",8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,50200658,56685144
Her,2013,A,126,"Drama, Romance, Sci-Fi",8.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,70143543,98273084
Bohemian Rhapsody,2018,UA,134,"Biography, Drama, Music",8.0,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer,71303882,38039282
The Revenant,2015,A,156,"Action, Adventure, Drama",8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,81663936,78143699
The Perks of Being a Wallflower,2012,UA,103,"Drama, Romance",8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,Stephen Chbosky,92977402,41850687
Tropa de Elite 2: O Inimigo Agora é Outro,2010,,115,"Action, Crime, Drama",8.0,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",José Padilha,22053850,10028716
The King's Speech,2010,U,118,"Biography, Drama, History",8.0,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Tom Hooper,21542311,50369421
The Help,2011,UA,146,Drama,8.0,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,24663772,27124149
Deadpool,2016,R,108,"Action, Adventure, Comedy",8.0,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,31796191,41580538
Darbareye Elly,2009,TV-PG,119,"Drama, Mystery",8.0,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Asghar Farhadi,34153559,36325355
Dev.D,2009,A,144,"Drama, Romance",8.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Anurag Kashyap,23650579,90776770
Yip Man,2008,R,106,"Action, Biography, Drama",8.0,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Wilson Yip,42073283,20473624
My Name Is Khan,2010,UA,165,Drama,8.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,32702190,38993810
Nefes: Vatan Sagolsun,2009,,128,"Action, Drama, Thriller",8.0,Story of 40-man Turkish task force who must defend a relay station.,Levent Semerci,40132831,38121938
Slumdog Millionaire,2008,UA,120,"Drama, Romance",8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Danny Boyle,66474862,63345652
Black Swan,2010,A,108,"Drama, Thriller",8.0,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Darren Aronofsky,58373053,17202060
Tropa de Elite,2007,R,115,"Action, Crime, Drama",8.0,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and crials before the Pope visits.",José Padilha,71226832,54201103
The Avengers,2012,UA,143,"Action, Adventure, Sci-Fi",8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,36453037,93914130
Persepolis,2007,PG-13,96,"Animation, Biography, Drama",8.0,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Vincent Paronnaud,97781428,76569939
Dallas Buyers Club,2013,R,117,"Biography, Drama",8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Jean-Marc Vallée,60765202,51792791
The Pursuit of Happyness,2006,U,117,"Biography, Drama",8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Gabriele Muccino,70524065,60018670
Blood Diamond,2006,A,143,"Adventure, Drama, Thriller",8.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Edward Zwick,17286765,40520672
The Bourne Ultimatum,2007,UA,115,"Action, Mystery, Thriller",8.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass,11947758,57201251
Bin-jip,2004,U,88,"Crime, Drama, Romance",8.0,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,Ki-duk Kim,33499917,27004893
Sin City,2005,A,124,"Crime, Thriller",8.0,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",Frank Miller,24680307,88735755
Le scaphandre et le papillon,2007,PG-13,112,"Biography, Drama",8.0,The true story of Elle editor Jean-Doique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,Julian Schnabel,89956696,20031241
G.O.R.A.,2004,,127,"Adventure, Comedy, Sci-Fi",8.0,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,Ömer Faruk Sorak,64381787,21716387
Ratatouille,2007,U,111,"Animation, Adventure, Comedy",8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Brad Bird,32310492,19074897
Casino Royale,2006,PG-13,144,"Action, Adventure, Thriller",8.0,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Martin Campbell,78433869,63533149
Kill Bill: Vol. 2,2004,A,137,"Action, Crime, Thriller",8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,71528867,50590535
Vozvrashchenie,2003,,110,Drama,8.0,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Andrey Zvyagintsev,39607979,29476402
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103,"Drama, Romance",8.0,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,Ki-duk Kim,91484096,64006834
Mar adentro,2014,U,126,"Biography, Drama",8.0,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",Alejandro Amenábar,87157230,55487745
Cinderella Man,2005,UA,144,"Biography, Drama, History",8.0,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",Ron Howard,97896699,17831288
Kal Ho Naa Ho,2003,U,186,"Comedy, Drama, Musical",8.0,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Nikkhil Advani,74419536,36361149
Mou gaan dou,2002,UA,101,"Action, Crime, Drama",8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Andrew Lau,14057369,11560240
Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143,"Action, Adventure, Fantasy",8.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,53785481,51949472
Big Fish,2003,U,125,"Adventure, Drama, Fantasy",8.0,A frustrated son tries to detere the fact from fiction in his dying father's life.,Tim Burton,66266929,30086651
The Incredibles,2004,U,115,"Animation, Action, Adventure",8.0,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Brad Bird,67751444,59718885
Yeopgijeogin geunyeo,2001,,137,"Comedy, Drama, Romance",8.0,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Jae-young Kwak,54962905,20210306
Dogville,2003,R,178,"Crime, Drama",8.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Lars von Trier,76700393,26983471
Vizontele,2001,,110,"Comedy, Drama",8.0,Lives of residents in a small Anatolian village change when television is introduced to them,Yilmaz Erdogan,21516655,55412490
Donnie Darko,2001,R,113,"Drama, Mystery, Sci-Fi",8.0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly,44303882,89533132
Magnolia,1999,R,188,Drama,8.0,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Paul Thomas Anderson,92150411,38440749
Dancer in the Dark,2000,U,140,"Crime, Drama, Musical",8.0,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Lars von Trier,15503168,58739349
The Straight Story,1999,U,112,"Biography, Drama",8.0,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,David Lynch,91046340,86556115
Pâfekuto burû,1997,A,81,"Animation, Crime, Mystery",8.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Satoshi Kon,40696468,89327240
Festen,1998,R,105,Drama,8.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Thomas Vinterberg,23950738,42931845
Central do Brasil,1998,R,110,Drama,8.0,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",Walter Salles,49850887,98002113
The Iron Giant,1999,PG,86,"Animation, Action, Adventure",8.0,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,22612468,90647129
Knockin' on Heaven's Door,1997,,87,"Action, Crime, Comedy",8.0,"Two terally ill patients escape from a hospital, steal a car and rush towards the sea.",Thomas Jahn,19616323,12746534
Sling Blade,1996,R,135,Drama,8.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Billy Bob Thornton,59690020,20566286
Secrets & Lies,1996,U,136,"Comedy, Drama",8.0,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Mike Leigh,94315782,52438695
Twelve Monkeys,1995,A,129,"Mystery, Sci-Fi, Thriller",8.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,86560487,60039877
Kôkaku Kidôtai,1995,UA,83,"Animation, Action, Crime",8.0,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Mamoru Oshii,41043783,13783127
The Nightmare Before Christmas,1993,U,76,"Animation, Family, Fantasy",8.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,36794654,79476118
Groundhog Day,1993,U,101,"Comedy, Fantasy, Romance",8.0,A weatherman finds himself inexplicably living the same day over and over again.,Harold Ramis,94722224,10310218
Bound by Honor,1993,R,180,"Crime, Drama",8.0,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",Taylor Hackford,89394748,60187034
Scent of a Woman,1992,UA,156,Drama,8.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Martin Brest,45317928,67690844
Aladdin,1992,U,90,"Animation, Adventure, Comedy",8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Ron Clements,10325612,25348864
JFK,1991,UA,189,"Drama, History, Thriller",8.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Oliver Stone,27131273,30860199
Beauty and the Beast,1991,G,84,"Animation, Family, Fantasy",8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Gary Trousdale,74752351,77825442
Dances with Wolves,1990,U,181,"Adventure, Drama, Western",8.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Kevin Costner,37957827,48719757
Do the Right Thing,1989,R,120,"Comedy, Drama",8.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Spike Lee,94728330,43647005
Rain Man,1988,U,133,Drama,8.0,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Barry Levinson,78784761,59790104
